Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201905,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Other,International,G,79360
201905,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,95476
201905,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,Terminal 3,F,1813
201905,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,13561
201905,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,11802
201905,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,Terminal 3,F,582
201905,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,International,G,250
201905,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,International,G,145
201905,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,E,9174
201905,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,E,7025
201905,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,9077
201905,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,14289
201905,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Other,International,G,51870
201905,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,International,G,56220
201905,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,Terminal 3,E,122
201905,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,Terminal 3,F,4986
201905,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Other,International,G,24421
201905,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,International,G,2210
201905,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,Terminal 3,E,4577
201905,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,Terminal 3,F,17301
201905,United Airlines,UA,United Airlines,UA,International,Middle East,Deplaned,Other,International,G,8372
201905,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Other,International,G,7547
201905,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,11466
201905,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,12615
201905,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,A,10910
201905,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Enplaned,Other,International,A,11239
201906,ABC Aerolineas S.A. de C.V. dba Interjet,4O,ABC Aerolineas S.A. de C.V. dba Interjet,4O,International,Mexico,Deplaned,Other,International,A,5571
